,"Method Names Changed for completeness
"
,"Formatting Fix
"
,"Added toString and rotate
"
,"Added Queue
"
,"Added queue on stack
"
=,"-Added Gradient Descent Algorithm
"
KuLi,"#130 fixed radix sort for python 3
"
lane,"added quadrature trapezoidal rule to Maths
"
lane,"added quadrature trapezoidal rule to Maths
"
lane,"Added Simpson Rule to Maths
"
Damel,"Added a python implementation of knuth-morris-pratt string search algo
"
Danni,"fixed issue#171
"
Pablo,"Finished delete function and added some prints functions too
"
Pablo,"Deleted binary_seach_tree
"
Pablo,"Added delete function
"
Pablo,"Added getNode function and made changes to insert function
"
Pablo,"Added delete function
"
ZivLi,"Add bin-search implement by recursion
"
douly,"fix type error (except an int) in jumpmp_search line 7.
"
eevee,"Playfair cipher
"
phlai,"for better bubble sort
"
psyas,"Elgamal cipher key generator code - (initial)
"
psyas,"modify README.md by psyas for just test
"
psyas,"Elgamal cipher key generator code - (initial)
"
umesh,"corrected title
"
umesh,"corrected problem title
"
GitHub,"Create longest common subsequence.py

LCS Problem Statement: Given two sequences, find the length of longest subsequence present in both of them.
A subsequence is a sequence that appears in the same relative order, but not necessarily continious.
Example:""abc"", ""abg"" are subsequences of ""abcdefgh""."
GitHub,"Create bogosort.py

Bogosort randomly sorts a list until it is sorted. Its computational complexity has a best case of O(n) and a worst case of O(n!)."
GitHub,"Merge pull request #55 from prateekiiest/master

Updated README.md for Sorting Graphs"
GitHub,"Update quick_sort.py

Streamlining quick_sort function"
GitHub,"Merge pull request #277 from girijamanojkumarreddy/master

Added a Solution using Euclidean Algo"
GitHub,"improvement

I improve my code"
GitHub,Update ftp_send_receive.py
GitHub,Merge branch 'master' into master
GitHub,"Merge pull request #165 from andrealmeid/master

Add counting sort"
GitHub,"Merge pull request #330 from bharath-123/patch-1

Added test case to knapsack.py"
GitHub,"Merge pull request #7 from santhon/improvements

Improvements"
